AI_Exposure_Category,Low_Wage_Hourly_pct_change_mean,Low_Wage_Hourly_pct_change_median,Low_Wage_Hourly_pct_change_std,Median_Wage_Hourly_pct_change_mean,Median_Wage_Hourly_pct_change_median,Median_Wage_Hourly_pct_change_std,High_Wage_Hourly_pct_change_mean,High_Wage_Hourly_pct_change_median,High_Wage_Hourly_pct_change_std,Average_Wage_Hourly_pct_change_mean,Average_Wage_Hourly_pct_change_median,Average_Wage_Hourly_pct_change_std,Quartile1_Wage_Hourly_pct_change_mean,Quartile1_Wage_Hourly_pct_change_median,Quartile1_Wage_Hourly_pct_change_std,Quartile3_Wage_Hourly_pct_change_mean,Quartile3_Wage_Hourly_pct_change_median,Quartile3_Wage_Hourly_pct_change_std
High,21.76927919372884,10.440772281639143,21.814293504971566,6.36822474913422,7.707291595388444,15.70317405247729,-5.251607643500723,8.301134002498344,24.81250264828227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Low,16.006660599083865,3.611458006293211,21.518527265214694,0.26555261432091487,0.7879760124001489,4.097025484109815,-3.9228613139428674,-3.9528541828170116,7.158270669008519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
