NOC_Title_Standardized,Avg_AI_Exposure,Industry,Province,Total_Jobs,Entry_Level_Jobs,Entry_Level_Pct,Median_Wage_PreAI,Median_Wage_PostAI,Wage_Decline_Pct,Exposure_Score,Wage_Decline_Score,Entry_Risk_Score,Vulnerability_Index
"Assemblers And Inspectors, Electrical Appliance, Apparatus And Equipment Manufacturing",0.0,Manufacturing,NAT,172,0,0.0,0,22.89551020408163,0.0,0.0,0.0,0.0,0.0
"Actors, Comedians And Circus Performers",0.0,Other,NAT,172,0,0.0,0,24.94375,0.0,0.0,0.0,0.0,0.0
Accommodation Service Managers,0.0,Other,NAT,172,0,0.0,0,37.24425925925926,0.0,0.0,0.0,0.0,0.0
Telecommunication Carriers Managers,0.0,Other,NAT,172,0,0.0,0,50.1240350877193,0.0,0.0,0.0,0.0,0.0
Technical Sales Specialists - Wholesale Trade,0.0,Retail trade,NAT,172,0,0.0,0,33.61078260869565,0.0,0.0,0.0,0.0,0.0
Coaches,0.0,Other,NAT,172,0,0.0,0,25.406885245901638,0.0,0.0,0.0,0.0,0.0
Welders And Related Machine Operators,0.0,Other,NAT,172,0,0.0,0,30.619685534591195,0.0,0.0,0.0,0.0,0.0
Ironworkers,0.0,Other,NAT,172,0,0.0,0,41.1588,0.0,0.0,0.0,0.0,0.0
Insulators,0.0,Other,NAT,172,0,0.0,0,36.3536,0.0,0.0,0.0,0.0,0.0
Water Well Drillers,0.0,Other,NAT,172,0,0.0,0,29.765,0.0,0.0,0.0,0.0,0.0
Water Transport Deck And Engine Room Crew,0.0,Other,NAT,172,0,0.0,0,27.548571428571424,0.0,0.0,0.0,0.0,0.0
Transportation Route And Crew Schedulers,0.0,Other,NAT,172,0,0.0,0,29.199523809523807,0.0,0.0,0.0,0.0,0.0
Transport Truck Drivers,0.0,Transportation and warehousing,NAT,172,0,0.0,0,26.461104651162792,0.0,0.0,0.0,0.0,0.0
"Translators, Terminologists And Interpreters",0.0,Other,NAT,172,0,0.0,0,33.442884615384614,0.0,0.0,0.0,0.0,0.0
Tool And Die Makers,0.0,Other,NAT,172,0,0.0,0,32.71333333333333,0.0,0.0,0.0,0.0,0.0
Tilesetters,0.0,Other,NAT,172,0,0.0,0,33.960277777777776,0.0,0.0,0.0,0.0,0.0
Water And Waste Treatment Plant Operators,0.0,Other,NAT,172,0,0.0,0,32.94213740458015,0.0,0.0,0.0,0.0,0.0
Underground Production And Development Miners,0.0,Manufacturing,NAT,172,0,0.0,0,41.27827272727272,0.0,0.0,0.0,0.0,0.0
Archivists,0.0,Other,NAT,172,0,0.0,0,38.212,0.0,0.0,0.0,0.0,0.0
"Supervisors, Electronics And Electrical Products Manufacturing",0.0,Manufacturing,NAT,172,0,0.0,0,31.47742857142857,0.0,0.0,0.0,0.0,0.0
