count,mean,std,min,25%,50%,75%,max
507.0,13.747005006827493,2.0590921680423646,10.2,12.2,13.79,15.0,19.23
880.0,16.067367897727273,1.1117429437685615,13.6,15.2,16.0,16.77,19.03
